Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PASIR RIS 8,"1,536,000","1,054.87","1,456",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,98,"15,673",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"886,000",516.67,"1,715",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,48,"18,458",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,280,000",775.01,"1,652",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,72,"17,778",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"889,000",516.67,"1,721",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,48,"18,521",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,581,000","1,065.64","1,484",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,99,"15,970",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,280,000",775.01,"1,652",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,72,"17,778",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,280,000",775.01,"1,652",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,72,"17,778",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,552,000","1,054.87","1,471",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,98,"15,837",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"891,000",516.67,"1,724",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,48,"18,563",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,286,000",775.01,"1,659",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,72,"17,861",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"894,000",516.67,"1,730",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,48,"18,625",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,591,000","1,065.64","1,493",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,99,"16,071",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
PASIR RIS 8,"1,292,000",775.01,"1,667",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,72,"17,944",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
PASIR RIS 8,"1,286,000",775.01,"1,659",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,72,"17,861",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
PASIR RIS 8,"1,286,000",775.01,"1,659",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,72,"17,861",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
PASIR RIS 8,"1,570,000","1,054.87","1,488",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,98,"16,020",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
PASIR RIS 8,"896,000",516.67,"1,734",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,48,"18,667",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
PASIR RIS 8,"1,297,000",775.01,"1,674",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,72,"18,014",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
PASIR RIS 8,"899,000",516.67,"1,740",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,48,"18,729",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
PASIR RIS 8,"1,508,000","1,022.58","1,475",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,"15,874",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"904,000",538.2,"1,680",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,080",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"904,000",538.2,"1,680",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,080",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"1,258,000",710.42,"1,771",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,66,"19,061",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"896,000",538.2,"1,665",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"17,920",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"1,642,000","1,022.58","1,606",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,"17,284",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"909,000",538.2,"1,689",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,180",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"909,000",538.2,"1,689",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,180",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"1,484,000","1,022.58","1,451",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,"15,621",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"1,114,000",710.42,"1,568",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,66,"16,879",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"901,000",538.2,"1,674",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,020",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"901,000",538.2,"1,674",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,020",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
PASIR RIS 8,"1,502,000","1,022.58","1,469",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,"15,811",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,522,000","1,022.58","1,488",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,"16,021",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"914,000",538.2,"1,698",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,280",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"914,000",538.2,"1,698",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,280",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,494,000","1,022.58","1,461",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,"15,726",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,120,000",710.42,"1,577",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,66,"16,970",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"906,000",538.2,"1,683",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,120",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,504,000","1,022.58","1,471",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,"15,832",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"919,000",538.2,"1,708",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,380",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,504,000","1,022.58","1,471",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,"15,832",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,126,000",710.42,"1,585",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,66,"17,061",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"911,000",538.2,"1,693",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,220",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"911,000",538.2,"1,693",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,220",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"1,552,000","1,022.58","1,518",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,95,"16,337",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"929,000",538.2,"1,726",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,580",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
PASIR RIS 8,"929,000",538.2,"1,726",Jul-21,PASIR RIS DRIVE 8,New Sale,Strata,50,"18,580",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,06 to 10
