SORA Publication Date,SORA
03 Jan 2008,0.8657
04 Jan 2008,0.8140
07 Jan 2008,0.7057
08 Jan 2008,0.7294
09 Jan 2008,0.7957
10 Jan 2008,0.9204
11 Jan 2008,0.9312
14 Jan 2008,1.1116
15 Jan 2008,1.1637
16 Jan 2008,1.2375
17 Jan 2008,1.2927
18 Jan 2008,1.2880
21 Jan 2008,1.4327
22 Jan 2008,1.4664
23 Jan 2008,1.4885
24 Jan 2008,1.2972
25 Jan 2008,1.2768
28 Jan 2008,1.3483
29 Jan 2008,1.4672
30 Jan 2008,1.7564
31 Jan 2008,1.7635
01 Feb 2008,1.7323
04 Feb 2008,1.7171
05 Feb 2008,1.6172
06 Feb 2008,1.5707
11 Feb 2008,1.6027
12 Feb 2008,1.3626
13 Feb 2008,1.3920
14 Feb 2008,1.1551
15 Feb 2008,1.0279
18 Feb 2008,1.0587
19 Feb 2008,1.1498
20 Feb 2008,1.1840
21 Feb 2008,1.2501
22 Feb 2008,1.2559
25 Feb 2008,1.1869
26 Feb 2008,1.1237
27 Feb 2008,1.1086
28 Feb 2008,0.9420
29 Feb 2008,1.0481
03 Mar 2008,1.0336
04 Mar 2008,1.0744
05 Mar 2008,1.0544
06 Mar 2008,1.0552
07 Mar 2008,0.8746
10 Mar 2008,0.5373
11 Mar 2008,0.4024
12 Mar 2008,0.3472
13 Mar 2008,0.3520
14 Mar 2008,0.3835
17 Mar 2008,0.5110
18 Mar 2008,0.7803
19 Mar 2008,0.8703
20 Mar 2008,0.8590
24 Mar 2008,0.9725
25 Mar 2008,1.0945
26 Mar 2008,1.0277
27 Mar 2008,0.7392
28 Mar 2008,0.6225
31 Mar 2008,0.6627
01 Apr 2008,0.7061
02 Apr 2008,0.6056
03 Apr 2008,0.6047
04 Apr 2008,0.6181
07 Apr 2008,0.7112
08 Apr 2008,0.6728
09 Apr 2008,0.6302
10 Apr 2008,0.4056
11 Apr 2008,0.5021
14 Apr 2008,0.4952
15 Apr 2008,0.4122
16 Apr 2008,0.4143
17 Apr 2008,0.4460
18 Apr 2008,0.2264
21 Apr 2008,0.1540
22 Apr 2008,0.1904
23 Apr 2008,0.1276
24 Apr 2008,0.1307
25 Apr 2008,0.4417
28 Apr 2008,0.7280
29 Apr 2008,1.0860
30 Apr 2008,1.0206
02 May 2008,1.0798
05 May 2008,0.8626
06 May 2008,0.6572
07 May 2008,0.5932
08 May 2008,0.4912
09 May 2008,0.6846
12 May 2008,0.8261
13 May 2008,0.8753
14 May 2008,0.8211
15 May 2008,0.7767
16 May 2008,0.5135
20 May 2008,0.4722
21 May 2008,0.4439
22 May 2008,0.3801
23 May 2008,0.6010
26 May 2008,0.7878
27 May 2008,0.6851
28 May 2008,0.6058
29 May 2008,0.5243
30 May 2008,0.5290
02 Jun 2008,0.5313
03 Jun 2008,0.3371
04 Jun 2008,0.2680
05 Jun 2008,0.1972
06 Jun 2008,0.3381
09 Jun 2008,0.3196
10 Jun 2008,0.3315
11 Jun 2008,0.3521
12 Jun 2008,0.3066
13 Jun 2008,0.2918
16 Jun 2008,0.2752
17 Jun 2008,0.2204
18 Jun 2008,0.0742
19 Jun 2008,0.1418
20 Jun 2008,0.2746
23 Jun 2008,0.3261
24 Jun 2008,0.3164
25 Jun 2008,0.2386
26 Jun 2008,0.2670
27 Jun 2008,0.2858
30 Jun 2008,0.5786
01 Jul 2008,0.8171
02 Jul 2008,0.2725
03 Jul 2008,0.2478
04 Jul 2008,0.3679
07 Jul 2008,0.4004
08 Jul 2008,0.3468
09 Jul 2008,0.3761
10 Jul 2008,0.3649
11 Jul 2008,0.4002
14 Jul 2008,0.3830
15 Jul 2008,0.3580
16 Jul 2008,0.3472
17 Jul 2008,0.2318
18 Jul 2008,0.3071
21 Jul 2008,0.3249
22 Jul 2008,0.3319
23 Jul 2008,0.4409
24 Jul 2008,0.4862
25 Jul 2008,0.4530
28 Jul 2008,0.3632
29 Jul 2008,0.2684
30 Jul 2008,0.1940
31 Jul 2008,0.1685
01 Aug 2008,0.2504
04 Aug 2008,0.3207
05 Aug 2008,0.3087
06 Aug 2008,0.2910
07 Aug 2008,0.3636
08 Aug 2008,0.3943
11 Aug 2008,0.5506
12 Aug 2008,0.6606
13 Aug 2008,0.7382
14 Aug 2008,0.7432
15 Aug 2008,0.7963
18 Aug 2008,0.9880
19 Aug 2008,0.7375
20 Aug 2008,0.6466
21 Aug 2008,0.5646
22 Aug 2008,0.7244
25 Aug 2008,0.6514
26 Aug 2008,0.5736
27 Aug 2008,0.5375
28 Aug 2008,0.5917
29 Aug 2008,0.6742
01 Sep 2008,0.6691
02 Sep 2008,0.4899
03 Sep 2008,0.5539
04 Sep 2008,0.6430
05 Sep 2008,0.7270
08 Sep 2008,0.8072
09 Sep 2008,0.8352
10 Sep 2008,0.8359
11 Sep 2008,0.8189
12 Sep 2008,0.9448
15 Sep 2008,0.9692
16 Sep 2008,0.9845
17 Sep 2008,1.2347
18 Sep 2008,1.3194
19 Sep 2008,1.5579
22 Sep 2008,1.3843
23 Sep 2008,1.4728
24 Sep 2008,1.6190
25 Sep 2008,1.5489
26 Sep 2008,1.6931
29 Sep 2008,1.6667
30 Sep 2008,1.5851
02 Oct 2008,1.5083
03 Oct 2008,1.1989
06 Oct 2008,0.8084
07 Oct 2008,0.8080
08 Oct 2008,0.6113
09 Oct 2008,0.7164
10 Oct 2008,0.5360
13 Oct 2008,0.4380
14 Oct 2008,0.6004
15 Oct 2008,0.7071
16 Oct 2008,0.5932
17 Oct 2008,0.4800
20 Oct 2008,0.3759
21 Oct 2008,0.3282
22 Oct 2008,0.2123
23 Oct 2008,0.1380
24 Oct 2008,0.1492
28 Oct 2008,0.3259
29 Oct 2008,0.4502
30 Oct 2008,0.8213
31 Oct 2008,0.6458
03 Nov 2008,0.4022
04 Nov 2008,0.2399
05 Nov 2008,0.1109
06 Nov 2008,0.0680
07 Nov 2008,0.0777
10 Nov 2008,0.1277
11 Nov 2008,0.2361
12 Nov 2008,0.5804
13 Nov 2008,0.7267
14 Nov 2008,0.8294
17 Nov 2008,0.6968
18 Nov 2008,0.4971
19 Nov 2008,0.2854
20 Nov 2008,0.3577
21 Nov 2008,0.3964
24 Nov 2008,0.4679
25 Nov 2008,0.5600
26 Nov 2008,0.5093
27 Nov 2008,0.4815
28 Nov 2008,0.4651
01 Dec 2008,0.5566
02 Dec 2008,0.4617
03 Dec 2008,0.4037
04 Dec 2008,0.3532
05 Dec 2008,0.4229
09 Dec 2008,0.4872
10 Dec 2008,0.4585
11 Dec 2008,0.4026
12 Dec 2008,0.2653
15 Dec 2008,0.2662
16 Dec 2008,0.2035
17 Dec 2008,0.2368
18 Dec 2008,0.2526
19 Dec 2008,0.3071
22 Dec 2008,0.4527
23 Dec 2008,0.4959
24 Dec 2008,0.4738
26 Dec 2008,0.4497
29 Dec 2008,0.3680
30 Dec 2008,0.3878
31 Dec 2008,0.2936
02 Jan 2009,0.2586
05 Jan 2009,0.2423
06 Jan 2009,0.2030
07 Jan 2009,0.1203
08 Jan 2009,0.0901
09 Jan 2009,0.0686
12 Jan 2009,0.0758
13 Jan 2009,0.0890
14 Jan 2009,0.0767
15 Jan 2009,0.1084
16 Jan 2009,0.1243
19 Jan 2009,0.1187
20 Jan 2009,0.0651
21 Jan 2009,0.0395
22 Jan 2009,0.0549
23 Jan 2009,0.0597
28 Jan 2009,0.1283
29 Jan 2009,0.1288
30 Jan 2009,0.1498
02 Feb 2009,0.2209
03 Feb 2009,0.1263
04 Feb 2009,0.1501
05 Feb 2009,0.1152
06 Feb 2009,0.1392
09 Feb 2009,0.0867
10 Feb 2009,0.1139
11 Feb 2009,0.1053
12 Feb 2009,0.0907
13 Feb 2009,0.1196
16 Feb 2009,0.1708
17 Feb 2009,0.1969
18 Feb 2009,0.2462
19 Feb 2009,0.2306
20 Feb 2009,0.2403
23 Feb 2009,0.2607
24 Feb 2009,0.2991
25 Feb 2009,0.2540
26 Feb 2009,0.1554
27 Feb 2009,0.2122
02 Mar 2009,0.2489
03 Mar 2009,0.2183
04 Mar 2009,0.1953
05 Mar 2009,0.1535
